pid,category,name,base_price,price,unit_price,arrival,rating,reward,url
1465326792,food,"곰곰 한돈 앞다리살 수육용 (냉장), 1kg, 1팩","16,590","14,800","(100g당 1,480원)",내일(화) 새벽 도착 보장,(29072),최대 740원 적립,coupang_img\1465326792.jpg
8065752480,food,"포카리스웨트 페트, 340ml, 20개","19,600","14,030",(100ml당 206원),내일(화) 도착 보장,(141848),최대 701원 적립,coupang_img\8065752480.jpg
6427547160,food,"G7 블랙커피, 2g, 200개입, 1개","30,000","20,390",(10g당 510원),내일(화) 도착 보장,(166344),"최대 1,020원 적립",coupang_img\6427547160.jpg
7666070794,food,"제주삼다수 그린, 500ml, 60개","28,800","26,850",(100ml당 90원),내일(화) 도착 보장,(703623),"최대 1,343원 적립",coupang_img\7666070794.jpg
5694524538,food,"고래사어묵 가정용 꼬치어묵 (냉동), 296g, 2개","13,600","10,680",(10g당 180원),내일(화) 새벽 도착 보장,(16636),최대 534원 적립,coupang_img\5694524538.jpg
7812120230,food,"투데이넛 너트한줌 후르츠 견과 선물세트 30개입, 600g, 1개","16,700","13,980","(1세트당 13,980원)",내일(화) 도착 보장,(30207),최대 685원 적립,coupang_img\7812120230.jpg
5625704601,food,"탐사수 무라벨, 500ml, 200개","64,900","37,490",(100ml당 37원),내일(화) 도착 보장,(1055232),"최대 1,875원 적립",coupang_img\5625704601.jpg
7666070794,food,"제주삼다수 그린 무라벨, 2L, 24개","25,920","25,360",(100ml당 53원),내일(화) 도착 보장,(703623),"최대 1,166원 적립",coupang_img\7666070794.jpg
7928220906,food,"차돌양지 샤브샤브 (냉동), 500g, 1개","14,500","11,350","(100g당 2,270원)",내일(화) 새벽 도착 보장,(8497),최대 568원 적립,coupang_img\7928220906.jpg
7537937892,food,"뉴케어 구수한맛 순, 24개, 200ml","35,050","29,880",(100ml당 623원),내일(화) 도착 보장,(21282),"최대 1,494원 적립",coupang_img\7537937892.jpg
29876,food,"폰타나 엑스트라 버진 올리브유 마라스카, 500ml, 1개","17,890","14,000","(100ml당 2,800원)",내일(화) 도착 보장,(14984),최대 700원 적립,coupang_img\29876.jpg
6002201,food,"가야농장 알로에농장 500ml, 20개","37,400","19,230",(100ml당 192원),내일(화) 도착 보장,(12030),최대 961원 적립,coupang_img\6002201.jpg
1271810164,food,"곰곰 납작한 떡갈비 (냉동), 1000g, 1개","12,130","11,870","(100g당 1,187원)",내일(화) 새벽 도착 보장,(97851),최대 594원 적립,coupang_img\1271810164.jpg
5246863,food,"데니그리스 유기농 사과식초, 1L, 1개","14,450","13,350",(10ml당 134원),내일(화) 도착 보장,(37763),최대 668원 적립,coupang_img\5246863.jpg
6685096100,food,"피그인더가든 탄단지 골든텐더치킨 보울샐러드, 2개, 232g","16,560","12,610","(100g당 2,718원)",내일(화) 새벽 도착 보장,(15575),최대 630원 적립,coupang_img\6685096100.jpg
